id,_chapter<jpn>,chapter<eng>,_storyTitle<jpn>,storyTitle<eng>,_storyOutline<jpn>,storyOutline<eng>,_storyTarget<jpn>,storyTarget<eng>
main0-1,-,-,-,-,-,-,-,-
main0-2,-,-,-,-,-,-,-,-
main0-3,-,-,-,-,-,-,-,-
main0-4,-,-,-,-,-,-,-,-
main0-5,-,-,-,-,-,-,-,-
main0-6,プロローグ,Prologue,知らない夏の少女,The Unknown Summer Girl,未知のウイルスにより、人々は意思をもたぬ怪物となり、世界は崩壊した──そう語る少女。でも、現実の世界でそんな感染症は起きていない。<br><br>彼女の言うことは本当なのか？　だとしたら、彼女はどこにいるのか？<br>今は、この古臭いコンピュータを通して、彼女の話し相手になってやるくらいしかできることはないけれど......。,"An unknown virus turned people into mindless monsters, and the world collapsed. But no such epidemic has actually occurred in the real world. <br><br>Is what she’s saying true? If so, where is she? <br>For now, all I can do is talk to her through this outdated computer...",探索して物資と情報を収集する,Explore to gather information and supplies
main1-1,エピソード 1 - 1,Episodes 1 - 1,感染した男,The Infected Man,探索に向かった先で、感染した男と出会った。<br>意識ははっきりしていたし、会話することもできたけれど、様子がおかしかった。<br>彼が断末魔の叫びを上げて、彼の腹を食い破るように、携帯端末が出てきた。<br>まるで、彼の中からたった今産まれたみたいに......<br>あるいは、彼自身が携帯端末になってしまったみたいだと、そう思った。,"While out exploring, I came across an infected man. <br> He was fully conscious and able to hold a conversation, but something about him seemed off. <br> He let out a death cry, and a mobile device burst out of his stomach as if it were tearing through him. <br> It was as if it had just been born from inside him... <br> Or perhaps, I thought, he himself had turned into the mobile device.",探索して物資と情報を収集する,Explore to gather information and supplies
main1-2,エピソード 1 - 2,Episodes 1 - 2,山の中のキャンプ,Camping in the Mountains,人の消えた町で偶然出会った女性、アカネに案内されて山の中に分け入れば、そこには人がいて、物があって、真ん中で焚き火が燃えていた。廃倉庫を利用したキャンプだった。<br><br>彼女はスマホのことを話さなかった。そのことを喜んでいいのかよくわからないけれど、これからも話ができると思うと、少しほっとした。,"Led by Akane a woman I met by chance in a town where everyone disappeared, I ventured deep into the mountains. There, I found people, belongings, and a bonfire burning in the center. It was a camp set up in an abandoned warehouse. <br><br>She didn’t mention her cell phone. I wasn’t sure if I should be happy about that, but the thought that we’d still be able to talk made me feel a little relieved.",キャンプの人々に協力する,Help the people at the camp
main1-3,エピソード 1 - 3,Episodes 1 - 3,世の中のこと,Things in the World,ずっと遠いところの話を聞いているみたいだった。<br><br>本当に、ずっと遠いところなのかもしれない。なんでもない話をしている間、彼女たちはどこにでもいる女の子なのに、それでも、生きている世界はあまりにも違う。<br><br>そのことをどんな風に考えたらいいのか、まだはっきりしない。,"It felt as if I were listening to a story from a place far, far away. <br><br>Maybe it really is a place far, far away. Even though they’re just ordinary girls talking about everyday things, the worlds they live in are so vastly different. <br><br>I’m still not sure how to make sense of it all.",キャンプの人々に協力する,Help the people at the camp
main1-4,エピソード 1 - 4,Episodes 1 - 4,懐かしい景色,A Nostalgic View,海を見て、懐かしいと思う。<br>でも、もう二度と見ることはできないだろう──そんな悲しさが、彼女の言葉の端に見えた。<br><br>彼女自身、まだそれをどう受け入れていいのかわからないでいるらしい。どうしようもなく現実がやってきて、多くを奪っていったのだと思った。,"She looked at the sea and said it felt nostalgic.<br>But there was a sadness in the edges of her words, as if she knew she might never see it again.<br><br>It seemed she still didn’t know how to accept it herself. Reality had come without mercy and taken so much away from them.",キャンプの人々に協力する,Help the people at the camp
main1-5,エピソード 1 - 5,Episodes 1 - 5,変わらないこと,What Remains the Same,仕事のこととか、恋のこととか。そんな話をしている間、彼女たちはなんでもない、ただの女の子だった。<br><br>こんなことになっても、そういう日常は消えてなくならないのだと思った。ほっと安心できるようでもあったし、何やら空恐ろしい感じもした。<br>笑いあっている間も、世の中は変わらず、狂っている。,"Work, love things like that. While we were talking about those things, they were just ordinary girls. <br><br>Even now, I realized that those everyday moments haven’t disappeared. It was somehow reassuring, yet it also felt eerily unsettling. <br>Even as we laughed together, the world remained unchanged—and just as crazy as ever.",キャンプの人々に協力する,Help the people at the camp
main1-6,-,-,-,-,-,-,-,-
main1-7,-,-,-,-,-,-,-,-
